AgentIndex,Episode,TimeInRangeRatio,MeanDeviation,TotalEvents,EventsPerMinute,PanicCount,MaxHR,MeanRecoveryTime,OverreactionCount
12,85,0.03,24.45027,54,10.8,0,88.0122,47,1
4,79,0.1766667,16.44835,66,13.2,0,115.0395,30.16667,0
14,78,0.4733333,11.43868,84,16.8,0,112.4615,9.4375,0
2,78,0.03,22.78461,77,15.4,0,93.81509,41.5,0
11,80,0,24.52317,63,12.6,0,80.64567,0,0
1,79,0,24.52732,75,15,0,87.84756,0,0
18,78,0.21,16.46936,70,14,0,116.5366,17.77778,0
7,81,0.1466667,16.4306,65,13,0,125.74,31.5,0
13,82,0.1533333,15.16807,96,19.2,0,108.1488,25,0
0,78,0.04333333,27.23151,66,13.2,0,89.50507,45.83333,0
17,82,0.45,12.35517,58,11.6,0,119.7346,22,0
5,76,0.06666667,16.96397,51,10.2,0,87.22297,28.6,0
15,85,0.55,9.633478,75,15,0,116.2878,13.5,0
8,82,0.3766667,12.10048,74,14.8,0,105.8359,17.625,1
10,86,0.06333333,21.8991,70,14,0,100.3559,48.25,1
6,84,0.2333333,11.79735,39,7.8,0,95.78797,37,0
3,84,0.26,11.83155,42,8.4,0,103.5376,29.85714,1
19,82,0.12,13.72783,50,10,0,88.61027,35,0
16,79,0.01,27.53806,56,11.2,0,92.58879,160,1
9,81,0.22,17.91716,60,12,0,108.2681,46.8,1
12,86,0,24.48134,54,10.8,0,76.75836,0,0
4,80,0.1266667,19.21085,46,9.2,0,118.6968,40.33333,1
14,79,0.1066667,17.00489,32,6.4,0,91.04977,24.66667,1
2,79,0,20.2701,36,7.2,0,85.78798,0,0
11,81,0,24.26453,44,8.8,0,86.82388,0,1
1,80,0.02333333,29.43308,33,6.6,0,94.2446,131,0
18,79,0,33.4579,51,10.2,0,72.38853,0,0
7,82,0.08666667,21.93458,55,11,0,105.2234,32.2,1
13,83,0.003333333,18.64784,49,9.8,0,88.26752,36,0
0,79,0.09666666,20.19542,43,8.6,0,102.0019,66,1
17,83,0.13,17.25372,70,14,0,98.31696,31,0
5,77,0.31,18.51542,50,10,0,104.5234,23,0
15,86,0.1333333,12.98317,43,8.6,0,104.0469,54.25,0
8,83,0,24.32539,26,5.2,0,74.62448,0,0
10,87,0.2066667,17.23672,43,8.6,0,103.3684,31.14286,0
6,85,0.1333333,15.70845,55,11,0,95.21072,64,0
3,85,0,28.88077,36,7.2,0,86.047,0,0
19,83,0.27,13.10559,65,13,0,112.666,24.33333,0
16,80,0,28.11424,54,10.8,0,84.88931,0,0
9,82,0.2666667,14.48183,62,12.4,0,98.72317,27.5,0
12,87,0.06333333,25.43909,48,9.6,0,106.9078,67,0
4,81,0.08,16.24347,50,10,0,90.62691,58.25,0
14,80,0.5233333,11.01829,63,12.6,1,142.3705,11,1
2,80,0.06666667,24.20958,67,13.4,0,96.85414,51.8,0
